2025-12-20T00:45:36.962967+0700 | DEBUG | 14312 | <module> | Loaded configuration: {'Mapdrive': [{'name': 'DC', 'path': 'C:\\\\DC'}, {'name': 'DR', 'path': 'C:\\\\DR'}, {'name': 'Archive', 'path': 'C:\\\\Archive'}], 'Port_Server': 8080, 'Max_Workers': 4, 'log_Level': 'DEBUG', 'Log_Console': 1, 'log_Backup': 90, 'Log_Size': '10 MB'}
2025-12-20T00:45:36.977015+0700 | INFO | 2960 | Loguru_Logging | ---------------------------------------------------------------------------------------------------------------------
2025-12-20T00:45:36.977015+0700 | INFO | 2960 | Loguru_Logging | Start HTTP-Image-Server Version 1.7
2025-12-20T00:45:36.978475+0700 | INFO | 2960 | Loguru_Logging | ---------------------------------------------------------------------------------------------------------------------
2025-12-20T00:45:36.979491+0700 | DEBUG | 2960 | <module> | Loaded configuration: {'Mapdrive': [{'name': 'DC', 'path': 'C:\\\\DC'}, {'name': 'DR', 'path': 'C:\\\\DR'}, {'name': 'Archive', 'path': 'C:\\\\Archive'}], 'Port_Server': 8080, 'Max_Workers': 4, 'log_Level': 'DEBUG', 'Log_Console': 1, 'log_Backup': 90, 'Log_Size': '10 MB'}
2025-12-20T00:45:36.988636+0700 | INFO | 16092 | Loguru_Logging | ---------------------------------------------------------------------------------------------------------------------
2025-12-20T00:45:36.989633+0700 | INFO | 16092 | Loguru_Logging | Start HTTP-Image-Server Version 1.7
2025-12-20T00:45:36.990636+0700 | INFO | 16092 | Loguru_Logging | ---------------------------------------------------------------------------------------------------------------------
2025-12-20T00:45:36.991634+0700 | DEBUG | 16092 | <module> | Loaded configuration: {'Mapdrive': [{'name': 'DC', 'path': 'C:\\\\DC'}, {'name': 'DR', 'path': 'C:\\\\DR'}, {'name': 'Archive', 'path': 'C:\\\\Archive'}], 'Port_Server': 8080, 'Max_Workers': 4, 'log_Level': 'DEBUG', 'Log_Console': 1, 'log_Backup': 90, 'Log_Size': '10 MB'}
2025-12-20T00:45:37.107254+0700 | ERROR | 31656 | emit | Error loading ASGI app. Could not import module "main".
2025-12-20T00:45:37.159847+0700 | ERROR | 14312 | emit | Error loading ASGI app. Could not import module "main".
2025-12-20T00:45:37.176370+0700 | ERROR | 2960 | emit | Error loading ASGI app. Could not import module "main".
2025-12-20T00:45:37.178366+0700 | ERROR | 16092 | emit | Error loading ASGI app. Could not import module "main".
2025-12-20T00:45:37.546674+0700 | INFO | 20972 | emit | Waiting for child process [32564]
2025-12-20T00:45:37.547669+0700 | INFO | 20972 | emit | Child process [32564] died
2025-12-20T00:45:37.571018+0700 | INFO | 20972 | emit | Waiting for child process [10492]
2025-12-20T00:45:37.572009+0700 | INFO | 20972 | emit | Child process [10492] died
2025-12-20T00:45:37.600010+0700 | INFO | 20972 | emit | Waiting for child process [6248]
2025-12-20T00:45:37.603209+0700 | INFO | 20972 | emit | Child process [6248] died
2025-12-20T00:45:37.639505+0700 | INFO | 20972 | emit | Waiting for child process [36916]
2025-12-20T00:45:37.640518+0700 | INFO | 20972 | emit | Child process [36916] died
2025-12-20T00:45:40.810129+0700 | INFO | 31284 | Loguru_Logging | ---------------------------------------------------------------------------------------------------------------------
2025-12-20T00:45:40.812274+0700 | INFO | 31284 | Loguru_Logging | Start HTTP-Image-Server Version 1.7
2025-12-20T00:45:40.812274+0700 | INFO | 31284 | Loguru_Logging | ---------------------------------------------------------------------------------------------------------------------
2025-12-20T00:45:40.813289+0700 | DEBUG | 31284 | <module> | Loaded configuration: {'Mapdrive': [{'name': 'DC', 'path': 'C:\\\\DC'}, {'name': 'DR', 'path': 'C:\\\\DR'}, {'name': 'Archive', 'path': 'C:\\\\Archive'}], 'Port_Server': 8080, 'Max_Workers': 4, 'log_Level': 'DEBUG', 'Log_Console': 1, 'log_Backup': 90, 'Log_Size': '10 MB'}
2025-12-20T00:45:40.819291+0700 | INFO | 12628 | Loguru_Logging | ---------------------------------------------------------------------------------------------------------------------
2025-12-20T00:45:40.821371+0700 | INFO | 12628 | Loguru_Logging | Start HTTP-Image-Server Version 1.7
2025-12-20T00:45:40.825811+0700 | INFO | 12628 | Loguru_Logging | ---------------------------------------------------------------------------------------------------------------------
2025-12-20T00:45:40.828813+0700 | DEBUG | 12628 | <module> | Loaded configuration: {'Mapdrive': [{'name': 'DC', 'path': 'C:\\\\DC'}, {'name': 'DR', 'path': 'C:\\\\DR'}, {'name': 'Archive', 'path': 'C:\\\\Archive'}], 'Port_Server': 8080, 'Max_Workers': 4, 'log_Level': 'DEBUG', 'Log_Console': 1, 'log_Backup': 90, 'Log_Size': '10 MB'}
2025-12-20T00:45:40.903342+0700 | INFO | 24144 | Loguru_Logging | ---------------------------------------------------------------------------------------------------------------------
2025-12-20T00:45:40.904348+0700 | INFO | 24144 | Loguru_Logging | Start HTTP-Image-Server Version 1.7
2025-12-20T00:45:40.905340+0700 | INFO | 24144 | Loguru_Logging | ---------------------------------------------------------------------------------------------------------------------
2025-12-20T00:45:40.906340+0700 | DEBUG | 24144 | <module> | Loaded configuration: {'Mapdrive': [{'name': 'DC', 'path': 'C:\\\\DC'}, {'name': 'DR', 'path': 'C:\\\\DR'}, {'name': 'Archive', 'path': 'C:\\\\Archive'}], 'Port_Server': 8080, 'Max_Workers': 4, 'log_Level': 'DEBUG', 'Log_Console': 1, 'log_Backup': 90, 'Log_Size': '10 MB'}
2025-12-20T00:45:40.906340+0700 | INFO | 19676 | Loguru_Logging | ---------------------------------------------------------------------------------------------------------------------
2025-12-20T00:45:40.907579+0700 | INFO | 19676 | Loguru_Logging | Start HTTP-Image-Server Version 1.7
2025-12-20T00:45:40.907579+0700 | INFO | 19676 | Loguru_Logging | ---------------------------------------------------------------------------------------------------------------------
2025-12-20T00:45:40.908591+0700 | DEBUG | 19676 | <module> | Loaded configuration: {'Mapdrive': [{'name': 'DC', 'path': 'C:\\\\DC'}, {'name': 'DR', 'path': 'C:\\\\DR'}, {'name': 'Archive', 'path': 'C:\\\\Archive'}], 'Port_Server': 8080, 'Max_Workers': 4, 'log_Level': 'DEBUG', 'Log_Console': 1, 'log_Backup': 90, 'Log_Size': '10 MB'}
2025-12-20T00:45:41.039831+0700 | ERROR | 31284 | emit | Error loading ASGI app. Could not import module "main".
2025-12-20T00:45:41.059866+0700 | ERROR | 12628 | emit | Error loading ASGI app. Could not import module "main".
2025-12-20T00:45:41.106706+0700 | ERROR | 24144 | emit | Error loading ASGI app. Could not import module "main".
2025-12-20T00:45:41.109707+0700 | ERROR | 19676 | emit | Error loading ASGI app. Could not import module "main".
2025-12-20T00:45:41.461238+0700 | INFO | 20972 | emit | Waiting for child process [23412]
2025-12-20T00:45:41.462227+0700 | INFO | 20972 | emit | Child process [23412] died
2025-12-20T00:45:41.482797+0700 | INFO | 20972 | emit | Waiting for child process [22584]
2025-12-20T00:45:41.484050+0700 | INFO | 20972 | emit | Child process [22584] died
2025-12-20T00:45:41.509054+0700 | INFO | 20972 | emit | Waiting for child process [31380]
2025-12-20T00:45:41.510054+0700 | INFO | 20972 | emit | Child process [31380] died
2025-12-20T00:45:41.531394+0700 | INFO | 20972 | emit | Waiting for child process [13392]
2025-12-20T00:45:41.532569+0700 | INFO | 20972 | emit | Child process [13392] died
2025-12-20T00:45:44.712589+0700 | INFO | 4216 | Loguru_Logging | ---------------------------------------------------------------------------------------------------------------------
2025-12-20T00:45:44.713586+0700 | INFO | 4216 | Loguru_Logging | Start HTTP-Image-Server Version 1.7
---------------------------------------------------------------------------------
